node_u,node_v,label,common_neighbors,jaccard,adamic_adar,degree_u,degree_v,preferential_attachment,h_index_sum,h_index_diff,citations_sum,citations_diff,area_jaccard
7101835153,7103053518,1,7,0.04,2.2829344335480237,42,140,5880,47,9,4985,1575,0.23529411764705882
7101835153,7202085730,1,4,0.09090909090909091,1.1238015347028327,42,6,252,22,16,1833,1577,0.20833333333333334
7101835153,7402214018,1,12,0.13793103448275862,3.358545863116058,42,57,2394,39,1,2730,680,0.16666666666666666
7101835153,7801624906,1,12,0.08955223880597014,3.327984169877066,42,104,4368,30,8,2114,1296,0.10714285714285714
7101835153,8626427200,1,2,0.04081632653061224,1.0448629735931543,42,9,378,39,1,4513,1103,0.4
7101835153,8842034500,1,13,0.18309859154929578,3.6042100093219074,42,42,1764,32,6,2096,1314,0.43333333333333335
36665912900,55538971700,1,0,0.0,0.0,8,7,56,10,2,144,64,0.3157894736842105
37561902600,55538971700,1,2,0.25,1.00261393450721,3,7,21,8,4,118,90,0.47058823529411764
55538971700,56155076300,1,2,0.11764705882352941,1.1915056406895657,7,12,84,12,0,240,32,0.45
55538971700,56494751200,1,2,0.25,0.6836960184445731,7,3,21,10,2,163,45,0.5294117647058824
55538971700,57210183032,1,3,0.375,1.4131928820135966,7,4,28,8,4,114,94,0.5
55538971700,6603790113,1,2,0.020833333333333332,1.00261393450721,7,91,637,49,37,6342,6134,0.1111111111111111
55538971700,7006020996,1,5,0.13513513513513514,3.165942819404032,7,35,245,26,14,1555,1347,0.34146341463414637
55646150900,57216009455,1,3,0.23076923076923078,1.1115143523418212,12,4,48,7,5,222,126,0.2727272727272727
57216009455,7004361186,1,3,0.17647058823529413,1.153270196501425,4,16,64,32,30,3580,3484,0.05172413793103448
57216009455,7005372641,1,3,0.14285714285714285,1.1801357560283319,4,20,80,15,13,853,757,0.09090909090909091
57216009455,7201764396,1,3,0.25,1.0969115652994197,4,11,44,8,6,224,128,0.125
54685141100,56486081700,1,1,0.043478260869565216,0.25973030217227155,19,5,95,18,10,677,507,0.14634146341463414
55173582700,56486081700,1,3,0.06521739130434782,0.8252072037589216,44,5,220,20,12,877,707,0.25806451612903225
55850511800,56486081700,1,4,0.08333333333333333,1.169357543418204,47,5,235,20,12,696,526,0.2647058823529412
56486081700,56527129000,1,3,0.07692307692307693,0.8125266802865097,5,37,185,15,7,485,315,0.21428571428571427
56486081700,57195065379,1,3,0.08823529411764706,0.8009255655175744,5,32,160,12,4,367,197,0.28
23096090400,57195331847,1,0,0.0,0.0,1,6,6,19,3,668,62,0.4375
22835701100,7202811057,1,2,0.5,1.23375467977551,3,3,9,26,14,2218,602,0.29411764705882354
6507718206,7202811057,1,2,0.5,1.23375467977551,3,3,9,25,15,1713,1107,0.17647058823529413
7006683766,7202811057,1,2,0.08695652173913043,1.8204784532536746,22,3,66,43,3,5023,2203,0.3142857142857143
27867659700,57211901680,1,3,0.09090909090909091,1.2717405106382493,32,4,128,24,12,2717,2477,0.4473684210526316
35762732900,57211901680,1,3,0.17647058823529413,1.1996057585938011,16,4,64,24,12,1558,1318,0.21666666666666667
57211901680,57217436523,1,3,0.42857142857142855,1.0021688922647947,4,6,24,9,3,184,56,0.3181818181818182
